date,price
2017-11-06,14135.0
2017-11-07,13990.0
2017-11-08,13820.0
2017-11-09,13805.0
2017-11-10,13855.0
2017-11-13,14155.0
2017-11-14,14105.0
2017-11-15,13270.0
2017-11-16,13270.0
2017-11-17,13295.0
2017-11-20,13385.0
2017-11-21,13335.0
2017-11-22,13390.0
2017-11-23,13725.0
2017-11-24,13845.0
2017-11-27,13410.0
2017-11-28,13980.0
2017-11-29,14210.0
2017-11-30,13915.0
2017-12-01,14525.0
2017-12-04,14925.0
2017-12-05,14715.0
2017-12-06,14330.0
2017-12-07,13970.0
2017-12-08,14065.0
2017-12-11,14020.0
2017-12-12,14165.0
2017-12-13,14080.0
2017-12-14,14280.0
2017-12-15,14415.0
2017-12-18,14560.0
2017-12-19,14420.0
2017-12-20,14470.0
2017-12-21,14365.0
2017-12-22,14005.0
2017-12-25,14030.0
2017-12-26,14315.0
2017-12-27,14170.0
2017-12-28,14200.0
2017-12-29,14105.0
2018-01-02,14340.0
2018-01-03,14295.0
2018-01-04,14115.0
2018-01-05,14090.0
2018-01-08,14075.0
2018-01-09,14075.0
2018-01-10,14035.0
2018-01-11,14170.0
2018-01-12,14295.0
2018-01-15,14445.0
2018-01-16,14225.0
2018-01-17,14145.0
2018-01-18,14165.0
2018-01-19,14065.0
2018-01-22,14075.0
2018-01-23,13795.0
2018-01-24,13775.0
2018-01-25,13755.0
2018-01-26,13770.0
2018-01-29,13770.0
2018-01-30,13395.0
2018-01-31,13120.0
2018-02-01,12955.0
2018-02-02,13005.0
2018-02-05,13055.0
2018-02-06,12585.0
2018-02-07,12655.0
2018-02-08,12390.0
2018-02-09,12450.0
2018-02-12,12520.0
2018-02-13,12450.0
2018-02-14,12500.0
2018-02-22,12500.0
2018-02-23,12850.0
2018-02-26,12935.0
2018-02-27,12885.0
2018-02-28,13030.0
2018-03-01,13010.0
2018-03-02,12950.0
2018-03-05,13055.0
2018-03-06,12930.0
2018-03-07,12865.0
2018-03-08,12910.0
2018-03-09,12620.0
2018-03-12,12695.0
2018-03-13,12695.0
2018-03-14,12775.0
2018-03-15,12810.0
2018-03-16,12580.0
2018-03-19,12510.0
2018-03-20,12240.0
2018-03-21,12130.0
2018-03-22,12130.0
2018-03-23,11305.0
2018-03-26,11020.0
2018-03-27,11175.0
2018-03-28,11075.0
2018-03-29,11475.0
2018-03-30,11640.0
2018-04-02,11575.0
2018-04-03,11430.0
2018-04-04,11340.0
2018-04-09,11450.0
2018-04-10,11580.0
2018-04-11,11480.0
2018-04-12,11480.0
2018-04-13,11505.0
2018-04-16,11135.0
2018-04-17,11090.0
2018-04-18,11190.0
2018-04-19,11780.0
2018-04-20,11555.0
2018-04-23,11680.0
2018-04-24,11530.0
2018-04-25,11605.0
2018-04-26,11420.0
2018-04-27,11290.0
2018-05-02,11525.0
2018-05-03,11605.0
2018-05-04,11615.0
2018-05-07,11765.0
2018-05-08,11735.0
2018-05-09,11605.0
2018-05-10,11680.0
2018-05-11,11680.0
2018-05-14,11600.0
2018-05-15,11440.0
2018-05-16,11455.0
2018-05-17,11445.0
2018-05-18,11765.0
2018-05-21,12230.0
2018-05-22,12155.0
2018-05-23,11860.0
2018-05-24,11855.0
2018-05-25,11875.0
2018-05-28,11720.0
2018-05-29,11930.0
2018-05-30,11655.0
2018-05-31,11670.0
2018-06-01,11680.0
2018-06-04,11695.0
2018-06-05,11605.0
2018-06-06,11620.0
2018-06-07,11685.0
2018-06-08,11415.0
2018-06-11,11400.0
2018-06-12,11400.0
2018-06-13,10835.0
2018-06-14,10810.0
2018-06-15,10790.0
2018-06-19,10190.0
2018-06-20,10350.0
2018-06-21,10340.0
2018-06-22,10480.0
2018-06-25,10470.0
2018-06-26,10485.0
2018-06-27,10490.0
2018-06-28,10455.0
2018-06-29,10575.0
2018-07-02,10445.0
2018-07-03,10535.0
2018-07-04,10410.0
2018-07-05,10405.0
2018-07-06,10335.0
2018-07-09,10495.0
2018-07-10,10335.0
2018-07-11,10315.0
2018-07-12,10355.0
2018-07-13,10325.0
2018-07-16,10275.0
2018-07-17,10335.0
2018-07-18,10405.0
2018-07-19,10305.0
2018-07-20,10285.0
2018-07-23,10160.0
2018-07-24,10110.0
2018-07-25,10320.0
2018-07-26,10295.0
2018-07-27,10285.0
2018-07-30,10300.0
2018-07-31,10340.0
2018-08-01,10220.0
2018-08-02,10235.0
2018-08-03,10155.0
2018-08-06,10325.0
2018-08-07,10485.0
2018-08-08,12500.0
2018-08-09,12580.0
2018-08-10,12380.0
2018-08-13,12475.0
2018-08-14,12345.0
2018-08-15,12355.0
2018-08-16,11890.0
2018-08-17,11725.0
2018-08-20,11915.0
2018-08-21,12650.0
2018-08-22,12580.0
2018-08-23,12375.0
2018-08-24,12480.0
2018-08-27,12515.0
2018-08-28,12275.0
2018-08-29,12340.0
2018-08-30,12455.0
2018-08-31,12360.0
2018-09-03,11990.0
2018-09-04,11975.0
2018-09-05,12010.0
2018-09-06,12060.0
2018-09-07,11975.0
2018-09-10,12040.0
2018-09-11,11930.0
2018-09-12,12270.0
2018-09-13,12420.0
2018-09-14,12330.0
2018-09-17,12125.0
2018-09-18,12135.0
2018-09-19,12135.0
2018-09-20,12570.0
2018-09-21,12465.0
2018-09-25,12515.0
2018-09-26,12505.0
2018-09-27,12285.0
2018-09-28,12360.0
2018-10-08,12330.0
2018-10-09,12750.0
2018-10-10,12585.0
2018-10-11,12160.0
2018-10-12,12305.0
2018-10-15,12205.0
2018-10-16,12105.0
2018-10-17,12270.0
2018-10-18,11990.0
2018-10-19,12015.0
2018-10-22,12060.0
2018-10-23,11935.0
2018-10-24,11945.0
2018-10-25,11785.0
2018-10-26,11835.0
2018-10-29,11340.0
2018-10-30,11350.0
2018-10-31,11230.0
2018-11-01,11265.0
2018-11-02,11370.0
2018-11-05,11125.0
2018-11-06,11235.0
2018-11-07,11320.0
2018-11-08,11330.0
2018-11-09,11300.0
2018-11-12,11160.0
2018-11-13,11225.0
2018-11-14,11285.0
2018-11-15,11180.0
2018-11-16,11225.0
2018-11-19,11115.0
2018-11-20,10885.0
2018-11-21,10855.0
2018-11-22,10785.0
2018-11-23,10730.0
2018-11-26,10940.0
2018-11-27,10765.0
2018-11-28,10870.0
2018-11-29,10870.0
2018-11-30,11195.0
2018-12-03,11140.0
2018-12-04,11160.0
2018-12-05,11215.0
2018-12-06,11205.0
2018-12-07,11245.0
2018-12-10,11215.0
2018-12-11,11140.0
2018-12-12,11245.0
2018-12-13,11365.0
